Time,Anomaly (deg C)
1882-11,-0.40350994
1882-12,-0.65474
1883-01,-0.47277278
1883-02,-0.4854322
1883-03,-0.26636964
1883-04,-0.4390349
1883-05,-0.3400283
1883-06,-0.1901544
1883-07,-0.21858145
1883-08,-0.28788334
1883-09,-0.3062682
1883-10,-0.3400996
1883-11,-0.39625064
1883-12,-0.41481745
1884-01,-0.44355372
1884-02,-0.33285657
1884-03,-0.50546813
1884-04,-0.5089616
1884-05,-0.5656212
1884-06,-0.5137893
1884-07,-0.5658637
1884-08,-0.429122
1884-09,-0.5043303
1884-10,-0.463346
1884-11,-0.5852065
1884-12,-0.4897219
1885-01,-0.65614164
1885-02,-0.5527572
1885-03,-0.42101642
1885-04,-0.63497037
1885-05,-0.60631216
1885-06,-0.63664883
1885-07,-0.42047033
1885-08,-0.4050678
1885-09,-0.35673314
1885-10,-0.36150765
1885-11,-0.38425598
1885-12,-0.21760142
1886-01,-0.479745
1886-02,-0.47879001
1886-03,-0.48723003
1886-04,-0.3615867
1886-05,-0.29257128
1886-06,-0.5019767
1886-07,-0.3021988
1886-08,-0.45738658
1886-09,-0.39079213
1886-10,-0.41297862
1886-11,-0.49078947
1886-12,-0.39479798
1887-01,-0.74377
1887-02,-0.65888214
1887-03,-0.44538546
1887-04,-0.48280382
1887-05,-0.5294594
1887-06,-0.52584267
1887-07,-0.38890877
1887-08,-0.44554248
1887-09,-0.3885525
1887-10,-0.4446146
1887-11,-0.43516165
1887-12,-0.49650568
1888-01,-0.6184704
1888-02,-0.58728784
1888-03,-0.59725916
1888-04,-0.35193178
1888-05,-0.41130793
1888-06,-0.3217171
1888-07,-0.3386262
1888-08,-0.31051376
1888-09,-0.32469457
1888-10,-0.16644995
1888-11,-0.26496226
1888-12,-0.2593257
1889-01,-0.2966627
1889-02,-0.006579389
1889-03,-0.08734918
1889-04,-0.08679018
1889-05,-0.15811297
1889-06,-0.21282648
1889-07,-0.28090227
1889-08,-0.30713442
1889-09,-0.34166074
1889-10,-0.37001047
1889-11,-0.5064449
1889-12,-0.34427297
1890-01,-0.53390056
1890-02,-0.46501267
1890-03,-0.6111193
1890-04,-0.49407724
1890-05,-0.53646934
1890-06,-0.49480304
1890-07,-0.48914096
1890-08,-0.46699485
1890-09,-0.482208
1890-10,-0.4391856
1890-11,-0.67008716
1890-12,-0.3992993
1891-01,-0.580199
1891-02,-0.59757084
1891-03,-0.36251077
1891-04,-0.4480748
1891-05,-0.34619385
1891-06,-0.375095
1891-07,-0.39966992
1891-08,-0.3548557
1891-09,-0.25669602
1891-10,-0.3429681
1891-11,-0.5339126
1891-12,-0.21803272
1892-01,-0.4647994
1892-02,-0.2896702
1892-03,-0.532998
1892-04,-0.5456076
1892-05,-0.4568904
1892-06,-0.43644238
1892-07,-0.5867592
1892-08,-0.508325
1892-09,-0.3824375
1892-10,-0.43382177
1892-11,-0.66069424
1892-12,-0.7922568
1893-01,-1.0448953
1893-02,-0.84499276
1893-03,-0.42680097
1893-04,-0.51484233
1893-05,-0.5721377
1893-06,-0.44231105
1893-07,-0.24375539
1893-08,-0.2869543
1893-09,-0.36513734
1893-10,-0.30426577
1893-11,-0.404811
1893-12,-0.4845268
1894-01,-0.6276136
1894-02,-0.42949706
1894-03,-0.51159126
1894-04,-0.53747475
1894-05,-0.5191684
1894-06,-0.583648
1894-07,-0.39212567
1894-08,-0.35357937
1894-09,-0.4396966
1894-10,-0.3990114
1894-11,-0.460066
1894-12,-0.551695
1895-01,-0.6359875
1895-02,-0.6417986
1895-03,-0.6178789
1895-04,-0.46109405
1895-05,-0.4825311
1895-06,-0.4253601
1895-07,-0.3349007
1895-08,-0.37724775
1895-09,-0.39428148
1895-10,-0.3257419
1895-11,-0.3213687
1895-12,-0.36682844
1896-01,-0.3152051
1896-02,-0.33662146
1896-03,-0.58836246
1896-04,-0.5460313
1896-05,-0.3561196
1896-06,-0.23009133
1896-07,-0.18243536
1896-08,-0.1715636
1896-09,-0.15527536
1896-10,-0.117941946
1896-11,-0.31405124
1896-12,-0.094388485
1897-01,-0.3000984
1897-02,-0.3486073
1897-03,-0.41547
1897-04,-0.1176401
1897-05,-0.11408215
1897-06,-0.1627357
1897-07,-0.18704693
1897-08,-0.1854231
1897-09,-0.18626954
1897-10,-0.21232262
1897-11,-0.4227442
1897-12,-0.46516183
1898-01,-0.19924784
1898-02,-0.55612665
1898-03,-0.8427487
1898-04,-0.663013
1898-05,-0.55958927
1898-06,-0.33471388
1898-07,-0.39475092
1898-08,-0.3894281
1898-09,-0.37076962
1898-10,-0.5009573
1898-11,-0.5286319
1898-12,-0.4895283
1899-01,-0.3598041
1899-02,-0.5540309
1899-03,-0.5889544
1899-04,-0.4393416
1899-05,-0.3589112
1899-06,-0.5010004
1899-07,-0.36553654
1899-08,-0.23979759
1899-09,-0.1515833
1899-10,-0.18313703
1899-11,-0.056940768
1899-12,-0.466166
1900-01,-0.5065189
1900-02,-0.20285846
1900-03,-0.1996692
1900-04,-0.22413279
1900-05,-0.30283663
1900-06,-0.21709992
1900-07,-0.19087769
1900-08,-0.21077268
1900-09,-0.19567777
1900-10,-0.06474688
1900-11,-0.26251248
1900-12,-0.23622343
1901-01,-0.28058165
1901-02,-0.2681851
1901-03,-0.20080307
1901-04,-0.17528863
1901-05,-0.24932855
1901-06,-0.23660955
1901-07,-0.32892776
1901-08,-0.20504455
1901-09,-0.3551397
1901-10,-0.34072286
1901-11,-0.39580756
1901-12,-0.48448405
1902-01,-0.43954477
1902-02,-0.23218735
1902-03,-0.4739756
1902-04,-0.4304807
1902-05,-0.43020976
1902-06,-0.44516006
1902-07,-0.3891313
1902-08,-0.42508107
1902-09,-0.37277043
1902-10,-0.50047225
1902-11,-0.56258446
1902-12,-0.5658808
1903-01,-0.43438736
1903-02,-0.24023621
1903-03,-0.39839762
1903-04,-0.58795786
1903-05,-0.51604986
1903-06,-0.5476417
1903-07,-0.5051698
1903-08,-0.60136807
1903-09,-0.5597119
1903-10,-0.66477305
1903-11,-0.62974554
1903-12,-0.7140063
1904-01,-0.80656
1904-02,-0.7698671
1904-03,-0.6964285
1904-04,-0.6467815
1904-05,-0.60934496
1904-06,-0.5641042
1904-07,-0.55299294
1904-08,-0.47835863
1904-09,-0.5965616
1904-10,-0.55299026
1904-11,-0.39655104
1904-12,-0.49959204
1905-01,-0.46335953
1905-02,-0.7201099
1905-03,-0.5239959
1905-04,-0.56017256
1905-05,-0.43417767
1905-06,-0.3425202
1905-07,-0.37304273
1905-08,-0.30441466
1905-09,-0.34512985
1905-10,-0.33508322
1905-11,-0.21722218
1905-12,-0.27429035
1906-01,-0.29661554
1906-02,-0.38851494
1906-03,-0.28945962
1906-04,-0.10394709
1906-05,-0.3764534
1906-06,-0.23246719
1906-07,-0.34288514
1906-08,-0.2716125
1906-09,-0.3529511
1906-10,-0.3222206
1906-11,-0.53171885
1906-12,-0.32045943
1907-01,-0.5292263
1907-02,-0.61851364
1907-03,-0.43785027
1907-04,-0.47791895
1907-05,-0.6449541
1907-06,-0.54397786
1907-07,-0.42500588
1907-08,-0.49093178
1907-09,-0.39859733
1907-10,-0.3358541
1907-11,-0.556291
1907-12,-0.58979434
1908-01,-0.46638778
1908-02,-0.41381732
1908-03,-0.7039844
1908-04,-0.588319
1908-05,-0.4529715
1908-06,-0.41270536
1908-07,-0.4009456
1908-08,-0.48116264
1908-09,-0.38762024
1908-10,-0.5746349
1908-11,-0.6452273
1908-12,-0.6380604
1909-01,-0.762844
1909-02,-0.5354324
1909-03,-0.6520392
1909-04,-0.6327117
1909-05,-0.5917152
1909-06,-0.49996263
1909-07,-0.5236611
1909-08,-0.33681288
1909-09,-0.41587806
1909-10,-0.49441093
1909-11,-0.38654533
